tweet	label
Asa m` dika bianka haha! asa m` dika bianka and am all about the money ka mbu banker nwaoke buluibu bulu ibu ka m` bu tanker 💪💯	positive
Ọ di ezigbo mkpa.	neutral
Ndi kam ike	neutral
Nna, o gbara m ghari. O ka Ihe wanu si agu ya? 😐	neutral
Onye nwere nti, ya niru !	neutral
Chineke. Me? I tweet everyday o Nna. I gàzírí Obodo békè, gbárá áká lotawa. No souvenir forbid. 🙄😒	negative
Akuko aburo obele ya. 🤦🏼‍♀️	negative
% ooh Ona eli kwa onye obula ooh. Besides ndi eke amaro onye ibu	neutral
😂 😂 Ike gi adiro mu	negative
Erichago m ya. Ụbọchị ọzọ. 🙄🙄	neutral
Echem na onu gi na duu ka okro? Ugba owu ala joke😂😂😂	neutral
Uwa eme bi go	negative
Ngwá tụọ down	neutral
Onye ji mmadu jikwa onwe ya e 🎶	neutral
Nri ndi Oga dear Nri ndi Oga	neutral
Bia nso kam gwa gi something	neutral
Mafren kpuchie ọnụ	negative
HAPPY FATHERS DAY! Ana asi ka Nna m di ndu, kaa nka! Isiee.	positive
okwu a di ka okwu di tonto gi	neutral
O pia cha gi, o were ya gbafuo😂😂😂	negative
😂😂money is sweeter abeg. Gini bu Otu ? Oo ife abialu? 😒😒	neutral
Emeka na a.k.a Ochilu ozua nke mbu¹ 🤣🤣😎	positive
Sure na. Ke ihe mua no na Lagos eme?	neutral
Je nke Oma nwanne madu.	positive
Oyi na emeru nwa guy aru. Biko umu oma Twitter, welunu thirst traps tele TL ka nwa guy neghelie Anya.	neutral
😭😭😭 Ferdi, Kedu Onye kpasuru gi iwe?	neutral
Kedu obodo ino?	neutral
Onye bu y'all? I bia kwa 😏	neutral
Avoid me pliss. Ike okwu na uka unu adirom tata kam malu ma aga enyebinyem anu ona egbu taa	neutral
Nna biko kam jidelu gi akpa gi 😁	neutral
Uche gị dị ya, onye nna😂😂😂	positive
😭😭😭 Mechie onu ahu there osiso	negative
Ngwa talk ur talk. Dalu.	neutral
Anwụchula nwanyị oma.	positive
HBD nnem OMA Age With grace Sam Mbakwe Airport	positive
Ị chuwal'eh nwude'e bụ onye chi'ye vukwe ụzọ nwude. Mad'u a gbah'u ọsọ ghalu chie'ya.	neutral
Nwanne'm! Chukwu gozie opupu gi na mbata gi na	positive
Enyi iji okwu biko 😂😂😂👏	neutral
Ichie iga di oo	positive
Nke ezigbo. Adighi ajo nwoke njo nkwu	neutral
nwanne gi si na o Colonial Vilus😂	negative
Mgbe e n'aga ije gi, ekwekwala anya n'azu! #Osondu #CavyMusic #CaveMen	neutral
Onye Nkuzi join	neutral
ụtụtụ ọma! Ngwaọrụ ụgbọ ala gị na-ekele gị niile	positive
Ebe ka unu n'eche na unu n'eje?😂😂	neutral
😂😂. Kedu onye aga eme onye isi oche?	neutral
Bank account nke a bu bullet proof Even biafran Ogbunigwe can’t penetrate Ihe a bu account Abacha usezuru mgbe o ka no ndu nwelu wee nye odogwu after he transitioned Odenigbo na abuo Chukwu agozigo gi Onye Nna na ala Igbo ka Obi	positive
Anyi gana agba mbo wèrè na eche ubochi oga adi mma	positive
lee otu esi edobe anya, ị ghala n'iyi ime ya ihe ọsọ ọsọ obughi oge WASTE	neutral
#NP Onye Ori Utaba by #IgboHighLifeRequestShow - Adan'liUkwuAnu, Nwachiemerie #SMAFM	neutral
Ndewo ada mmadụ Maka nkwado gị ị hụ na asụsụ Igbo anwụghị. A hụrụ m ọrụ ị na-arụ n'anya. Asụsụ Igbo agaghị anwụ	positive
#NP Jisos Bu Onye Ndu by Chief Osita Osadebe #IgboHighLifeRequestShow - Nwachinemerie, Mimilicious #SMAFM	neutral
Negodu onye si mmadu resignia 🤣	neutral
Inukwa akuko So nwokem na adiba alalu chalu na step oge ufodu obia kwanu here na emelu anyi hard man 😏😏	negative
chi bu ike m!	positive
N'ezie ibu Chukwu, n'ezie ibu Eze, otu obula osiri di, agam enye gi ekele, obula gi bu Eze ji ndu. Nara mbulie elu na ojija mma.	positive
Ndi egbu ara obara	negative
Lagos a bo obodo mmadu? Smh	neutral
O di egwu o🙆‍♀️🙆‍♀️🙆‍♀️🙆‍♀️	negative
Happy Birthday to my big bro Ikenna AKA """"Ego na-abịa of Ohuru!""""…	positive
Nwanne mmadu! Daalu🙌🏾	positive
I wee gosi faa onye ibu,okwa yaa 😂😂 Let them know	neutral
Anyi ga agba mbo fu na #IgboTwitterCommunity anyi nwere isi. Okacha si anyi nwa wu ndi bi na ala #Ibadan. Adim nkwado be ma acho ihoputa ndi g’eti nye uche n’imeya. Asusu #IgboAmaka #IgboTwitterHangout #IgboInvasion	neutral
Ịfụro ka afọ gi ra. Ina a form flat tummy geng.	neutral
🤣🤣🤣 Kedu nke uche gị na gawa gi na ọ bu?	neutral
Zam jehovah zam , ekwekwala ihere me mu. Biko zam ka ha we si jehovah Soso gi bu chineke. Amen	positive
😊😊😊 nekwa ndị be unu	neutral
Ndị a ga esigbu mmadụ one day jare!	negative
Happy birthday nwanyi oma chukwu gozie gi ❤❤❤	positive
Agadi zụkwanụ ike	negative
oge chukwu kan ma 🙏	positive
Opor, ara ga agba ndi ara🤣🤣🤣	negative
Igbo dads! Always have wise words. Anaghi ata not ha ata! Mine keeps me; kedu ihe ina eme na Maiduguri, ebe ndi be anti n'agbalata ulo.	neutral
Ndị obodo. Ọ kwa sọ unu gbalụ this Christmas oo	neutral
You pay and go. Bros, azụ go gị afia na isi. Tụọ ndị Emeka Offor plaza egwu. Fear them.	neutral
Ezigbo otolo afo osisa 💯	negative
Unu nwekwalu ike irapugodi ewu for now imana things are hard now nyegodum my own Okuko which isn’t costly 🙄🙄	neutral
Nke ndị AG	neutral
Hian nke gị 🙄🙄🙄	negative
Happy birthday Professor, Senator Ike Ekweremadu.	positive
Okpa Udi for breakfast 😜	neutral
Ị ma akwụkwọ 👏👏👏	positive
Ezigbo akuko biati	negative
Onwa nwayo ooh. Before ibulu akpa ogana igwe gi tuo na church	neutral
NP apiriwa #k""""anyinoria na oge ndigbo	neutral
mba nile ga-akpomu onye ngozidiri	positive
Ejighi amu e nyi ashowo egwu!	negative
Jehova nna anyị bi na eligwe Ọkà ome, onye Omalicha bethsider Le ìhè ọma imere la ndị Cameroon na úbọchị nke ta biko me kwa la ra ya onye íshí Obodo anyị nke Naijiria si te na ta ruo mgbe ebighị ebi. Amem	positive
Haayy! Leelee, lekwa fa, fa cho iri m. Umu Delilah	negative
Muna don forget say dem no get road for Anambra 😭😭😭😭😭. Ndi otu ndi mgbu	negative
Onye olu ebube daalu oh	positive
Omo make the DJ just play """"Ibu Chukwu, Ibu gi madu"""" next abeg.	positive
Aso mmiri ebe nile. Hian.	negative
#NP Nwata Di Nma || ft #UrbanRadioEnugu #UrbanWeekend with #HappyBirthdayEnugu	positive
▶ 📻 Nwayi Oma on #ABJONTHEMOVE #TGIF WITH SUGAR SUGAR ON #LOVEFMABUJA #YOURFAMILYLOVESTATION	positive
O buru idi mmadu president obodo a. Agwo ya Ka agwolu Abacha. Ebele adiro. M ya si ya. okpoko ofia, melunu onwe gi ebele ma je taa atu and saa ire gi ofuma Ezi Bida	neutral
Broke bitch. Tufiakwa gi😂😂😂	negative
Chukwu ekwekwana ihe ojoo	negative
Nna eh odiegwu umu uwa bia lele 🙆🙆🙆🙆	negative
😂😂😂😂 I wu onye oshii	negative
Jisike nwanne 👍🏽👍🏽 I di okay.	positive
Ụmụ ọma. Rest on!	positive
England ndi mgbu	negative
Martial onye egwu!	neutral
Ke uru no n'ime ihe ahu compared to the oru iga aru tupu irie ihe ahu	neutral
Ututu oma ndi nwem na ndi nwe. Ka ubochi taa mara anyi nine nma.	positive
Call me Aka n'chiputa nkwa Mazi okpunna bu enyi ojere jii laa jii Nkenke efi n'achu Igwe…	neutral
Amen na gị onwe gị	positive
nnaa Buhari na achi, and unu ka onwa na etili.o di gi na akpa nna m 😁😁	neutral
Nwanne gị apụta go nà ịrụ ọgụ	neutral
Lmao 🙉, ezigbo shut up! Ihukwam eshishi! Ara gbashikwe gi ma nwa nti! Best Governor ki you there!	negative
Nnoo Ada mmadu! 😁😁	positive
Kedu onye ga-abu oyi m o? (×) Onye ga-abu oyi m o?	neutral
Chukwu gozie gi mmaji puru mmaji.	positive
No mind am. Igbo kwenu	positive
👏👏👏Nwa afọ Daalụ	positive
Onye Nkuzi ibem.😌😌	neutral
📻▶️KPO KPO DI KPO - | #WayBackWednesday on #BITC w &amp; #OldSkool	positive
Chi di ebube	positive
Nwanne ọ dịghị eazy ma na asị nọ azọ ta ndụ tu pu ekwube Ive afọ ga eri.	neutral
Udo dikwaara gi okoro Oma🙂	positive
No Mmanyami😁😁😁 Pawpaw Nwanne'm nwoke e Na enweta oweghi.	neutral
Ejiji ama ebe mu n'onu	neutral
