tweet	label
ከዚህ በላይ ምን ደስታ አለ በእኩልነት ጥያቂያቹህን እንስማ ህመማቹህን እናክም ስትባል ተሰሚነቴ ቀንሷል እና ወደ ሰፈሬ ሂጄ . ህምም በርቱልኝ አያ የኔዘመን ምርጥ መሪዎች	positive
ማጭን ይኾነን ዘንድ ምንሽር ቀለጠ ዳሩ ብረት እንጂ ልብ መች ተለወጠ ለሳር ያልነው ስለት፣ እልፍ አንገት ቆረጠ	neutral
17 ታገቱ አለ፥ እሺ ብዬ ሰማሁት፥ ከታገቱት 21ዱ ተለቀቁ አለ፥ ጎዴፈላ ደነገጥኩ።ቀጠለና አቶ ንጉሡ አሁን ያልተለቀቁ 6 ታጋቾች ይቀራሉ አላለም። 1…	neutral
2020 የራሳችንን ችግር የምናወራበት አፍ ብቻ ሳይሆን የሌሎችንም ችግር የምንሰማበትት ጆሮ እንዲሰጠን ምን ምኞቴ ነው ? መልካም አዲስ አመት ✌	positive
እኔ የማይረባ ጭቅጭቅ አልወድም። ኪራይ ሰብሳቢ ነኝ እሱንም በርትቼ እታገላለሁ እልና ምድረ-ካድሬ ሳይጨቀጭቀኝ በቀላሉ እገላገላለሁ። አንዴ እንደው…	neutral
እሱንስ ይበሉ እሺ ግን ቤታቸው ውስጥ ገብተው ደምእንባ ሚያስለቅሱት ነገር ? ሰው መርዳት ካለብን ዲግኒቲያቸውን መጠበቅ። ስንሰጥ ከመለፍለፍ መቆጠብ፣ በሚስኪኖች mise…	neutral
የ2019 ዓ/ም የሳይንስ ዝግጅቶቻችን ቅኝት በከፊል	neutral
?እስቲ ተመልከቱት ያን የጠይም ሎጋ አንጀቴን ሲበላ በተሰጠው ፀጋ ያንቺ ነኝ ያልከኝ ለት በጣም ተደስቼ አልነቃም ለሳምንት ከጎንህ ተኝቼ እትት በረደኝ ድረስልኝ ዋሴ ፍቅርህን አል…	positive
እንኳዕ ንሕዳር ማርያም ፅዮን ብሰላም ኣብፅሐና! (ጉዳይ ፀጥታ ዝዓዘዘ ጥንቃቐ ክግበረሉ ኣለዎ።) ርሑስ ብዓል!	neutral
ስብሰባችንን አጠናቀናል . የክልላችንን ጉስቁልና በቀጣይነት የሚያረጋግጡ አቅጣጫዎችን አስቀምጠናል . ምንጭ፦ የጉስቁልና ፓርቲ	negative
Marco Reus እና ሚስቱ ቡዳ እንዳይበላት ብለው ነው የልጃቸውን ፎቶ post የማያደርጉት?	negative
የብልጽግና ፓርቲ ከኢዜማ ጋር መደራደር ጀምሯል፤ በሚል በማህበራዊ ትስስር ገጾች ላይ እየተሰራጨ ያለው መረጀ የተሳሳተ ነው። --- EPRDF official 31	neutral
ጉድለትን ቢያወሩት፣ ለምን ይሄ አልሆነም እያሉ ቢጠይቁ ማለቂያም መልስም አይገኝም። እኔ ምን ላድርግ ብሎ መነሳትን የመሰለ የእርካታ ምንጭ ግን ፍጹም የለም። በርታ ወዳጄ። ተሳካ…	negative
በጣም ደስ ይላል ይህን መስማት። ለውዱ መሪያችን ምስጋና ይድረሰው። ከመጀመሪያው ይህን ሀሳም ስላመጣ። ሁሌም ከጎኑ ነን።	positive
? እኔ የማንም አይደለሁም ስትይ ኳስ አልወድም ልትይ መስሎኝ ነበር:	neutral
በጣም እጅጉን የናፈቅሺኝ ልጄ መልካም አዲስ አመት ላንቺ ፣ ለእናትሽ ፣ ለአያትሽ	positive
አሪፍ ጥያቄ ነው ኃይልዬ.በአንድ የምርጫ ክልል የሚኖር ዜጋ ማንነቱ ሳይገድበው በአከባቢው ያሉ ሰዎች ከመረጡት ይወከላል…	neutral
?ሃሃ እኔም እንደዛው ጎንደር አርፈው ወደ ራስ ደጀን ሲሄዱ ትልቁ ሰይጣን ትልቅ ተራራ ስር ነው ብለን እናስብ ነበር?♂️ አይ ልጅነት እና ጅልነት	neutral
በመጀመሪያ እንኳን ደስ አላችሁ ምንም አይነት ችግር ውስጥ ብትሆኑም በተለያየ መልኩ ተበላሽቶ ቆሽሾ የነበረውን ግንባር በአዲሱ ብልፅግና ፓርቲ እንደምታድሱት ትል…	positive
ኃጢአተኛ ነፍስህ ከድነት በላይ ነው እናም ሰላምን እና ህመምንም አታውቅም ፣ ብቸኛው የባዶነት ቅዝቃዜ ብቻ ነው የንስሐ ጊዜ ተጠናቅቋል ፣ ምክንያቱም ጥፋቶችህ በክፉ ዓይነትህ ከማንኛውም ተልእኮ ይበ…	negative
በምስሉ ላይ እንደሚታየው በአሁን ሰአት አንዳንድ አየር መንገዶች መስመራቸውን እየቀየሩ እና የኢራቅ እና ኢራን የአየር ክልልን በመተው ወደ ሌላ አቅጣጫ እያመሩ ነው።	neutral
