tweet	label
Yayan Sani Bayero ne kenan 🤔	neutral
Slm Yaya zamuyi musamu da mar kallon shirye shirye ku ta manhajar nagode dan allah bayani nake so 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏	positive
Allah sarki, sumayya sai hakuri, kizo na taimaka Miki kiyi wuff Dani.🤔	positive
Kifi musulmin nama kowa yacika yayi amai Wuta sae tacishi.🤣	neutral
,Allah yasa can babu kidnapping kaga sai muyi sharhole amm muddin ansami Boko haram ko Wasu masu tada kayan baya dawowa Earth xanyi 🏃🏃🏃	positive
Ameen allah ubangiji ya karbi ibadu🙏🙏	positive
Ya Allah ka kawomana dauki munaciki damuwa😷😭😭	positive
Dan wahala neh ai mtww 😎😎😎	negative
Biyayya ta qare ai. Allah ya ji qan maxa 🙏😢	positive
Allah yakara lfy baba ganduje 💪🔥 UP APC	positive
Katsinawa munkusa hawa table wlh 😆	neutral
Daman bazuwa suke ba meye acikin nigeria neh daxa ayima wasu qasashe iyaka da itah? Talauci da rashin tsaro ya dami mutane 😎	negative
wae pls miyasa akecemaki washa kuma naga bakinki ba washeshe bane🙄 kaman na	neutral
Yanxu aii Taxama Rasha Kowa Yaxo Ya Shiga Ya Fitah Lfy😅😅😎	positive
Baku biya ta Katanga kuke haurawa thats why😂😂	negative
Tunbin giwa kodame kazo anfika.💪	positive
Yana zaman gida 😂😂😂😂😂😂😂 dole	negative
6adda hankalin angulla! 🐤🐤🐤🐤	neutral
Sky is ur starting point kici gaba da 🔥🔥 yar sadau	positive
Gaskiya ne ale abba😹	positive
karfa itama Salmah abunda yafaru da Al-Ameen itama abunda zefaru da'ita kenan🙄 Maganar gaskiya idan hakan yafaru, toh kam muma zamuje break na kallon shirin because she's one of the reasons somany of us are following the series.	neutral
An daura auren Hanan mu kuma kundaure mu a gida anhana mu komawa school 😪	negative
Allah yasa mafarki SUMAYYA take🤲	positive
Gaskiya rikon amana dadtaku tausayi Allah kyautata makwanchi🙏🙏	positive
Iya duba-duba samodara, iya duba zani na samodara, Baba ne ya siya min samodara, ya ce inyi yanga samodara, toh ga yangar na yi samodara. 🤣🤣🤣	neutral
Inasan masara ko banci kanshin ma ya isheni😁😁	positive
Tab gaskiya wahalar tayi yawa, ga Muni gajin zafi😂😂😂	negative
