tweet	label
Nna Ike Gwuru oo. 😂	negative
Chineke nna kezi mgbe ole?	negative
Lol. Isi adirokwanu gi nma. 😐😒😒😒	negative
haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative
Nna ghetto di gi na aru biko!	negative
Ezigbo onye iberibe	negative
Thief! Ole! Barawo! Onye oshi!	negative
Chukwu nna! Afam ị gaghị egbu mmadụ na app a.	negative
Or ma agbalie gi elu🙄	negative
O dikwa egwu😂😂😂😂	negative
Lmao Awka na ebi ajo ndu	negative
Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️	negative
Rapụ ndị nzuzu	negative
Taa! Nnaa, gaa zuru ike.	negative
Nobody ugly oo Obu ego na akpari mmadu	negative
Rijuo nsi onu dia. Nkea abuluzia gini. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	negative
Negodu mama mmadu 🤦‍♂️	negative
Nsogbu dị kwa. Ife corona na cause. 😩😩	negative
Zuzuru Getaway from here. Onye nkogheri.	negative
🤣 🤣 🤣. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu.	negative
Thunder fire onu gi ji ekwu ụdịrị ihe a	negative
😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi	negative
I bu onye nzuzu! 🤦🏾‍♀️	negative
O siri nke ozo na beer adiro ya mma na aru	negative
😂 😂 ya ehh, m nweta gị.	negative
Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣	negative
I na atupuru ndi nzuzu onu	negative
Nzuzu ya di few mush!	negative
aunty mi, e ne we iwe oku oh	negative
Ị na ańaa ifeanyi ọnụ ọjọọ nti	negative
biko dutelu anyi mmadu from mgbago inu😂	negative
Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒	negative
Ike guru m o	negative
Nsogbu digodi next season for Arsenal😂	negative
Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehh. Egwu dikwa	negative
Ọ bụghị asị. Mana ole n'ime ha ka isi dị mma?	negative
Ezigbo Nonsense lmao	negative
Mechie onu osiso. Iti boli bor	negative
Kilikpa lacha gi anya ebe-ahu idiot	negative
Oge ahu gbuo gi dia. Esi beegi eje bee onye kwanu.	negative
Chineke nna ekwekwala ihe ọjọọ	negative
As in ehn. Ndi mmadu enwero zi Obi ebele. 😂	negative
Luiz efulefu mmadu	negative
Ndị ala ndi ala Lele lekwa ha	negative
O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?	negative
Don't oo Maka ndu gi😂😂😂😂😂😂	negative
Ndi mbaise na enyekari nsogbu 😂	negative
😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu oo 😫😫	negative
E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀	negative
Ibu ezigbo okpo 3buka 🤣	negative
Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu	negative
Ike gwuru ndi ochichi anyi	negative
Thunder nke sị na Abaa okwia😛😛😛	negative
Ezigbo Prof ndi ala, lol IK . ☹️	negative
Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣	negative
You see umuada? Ndi a bu ndi akpo oh! 😭	negative
Akuko aburo obele ya. 🤦🏼‍♀️	negative
A gwasịa m gị 🙈	negative
😂😂😂🤣 Isim hudo ya ama kwa. Nna eeh. Once mmili malu kpam na ala uzo etiwa abuo maka chii. Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh. Erosion welu nwayo na acho ka ojide uzo mebisia	negative
Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀	negative
bitch emetụla ego m aka. Achọghị m nsogbu	negative
Mechie onu biko	negative
Nsogbu di kwa.	negative
Men na ewe iwe okwu.	negative
Aso mmiri ebe nile. Hian.	negative
Onye ofe mmanu😒	negative
Ina atupuru onye ahu onu	negative
Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtcheww	negative
Obi mmadụ ga justu gbáwá!	negative
Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu.	negative
Are you still in that spirit? Kwuo ezi okwu ka ihere mee ekwensu!	negative
Anuofia. Thunder gbagbuo gi ebe ahu ino you demon	negative
Aunty Oby egbue mmadu 😭😂😂😂😂	negative
Okwa ehh, ya bụ mmili ga agba gbukwa gị one day	negative
O. D. Egwu , O. T. Sumi	negative
Ala Pa ala apa? Onye para ala ala apagbuo ya	negative
He will argue that he has changed but anya anya ka mu na-elezi uwa na ndi bi ya n'ime.	negative
#Erica and #Tolanibaj Ndị asịrị gbakaa ute! 🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️ #BBNaija	negative
Lolz Wetue mmuo gi nna. ya bu ihe gwuru ike mana aga eme kwanu gini.	negative
Nengi onye mgbu.	negative
O na ewute m. Ha me chakwa tuoro buhari owu kwa ndi no n'ulo ga kpo ndi na ru oru beke ka ha nyere ha aka. Ka mgbe Buhari batara na ochiochi obodo a, gwa m ofu mkpuru ihe o mere n'ala igbo? Ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke.😠	negative
Gbagbue gii Semi umu ikporo ogbe	negative
Afurum gi na isi	negative
Nna, Obodo bu igwe.	negative
Lol onye zuzu numba wan. Thank you!	negative
Akuko gi adiro nma 😒😒😭😭	negative
Nne. isi adirokwa gi mma o	negative
Chai😂 ina acho onye i ga araputa😂😂	negative
Oji afufu eme orji 1 of Igbo land🙌	negative
Enyi a gtfo. Onye amụma ugha	negative
Mechie önu gi biko	negative
Archbishop afọ nsị. 😁😁😂	negative
Ike gwuru ada Igbo.no mind my tweet on post oo biko	negative
Ndị ajọ obi	negative
Odumeje ga egbu mmadu The Sucrutum!	negative
Miracle onye uwa oma.	negative
Chineke napu ekwensu ike . Damn.😏🥴🥴🥴	negative
Ndi ogbu ara obara coven agaghi afu this one.	negative
I swear. E ka mụ ihe àmà, ịga áká mụ adị iberibe	negative
Ndi Iwe n'ewe nya biko wegbuo ha Osuko Osuko nya biko sugbuo ha. Iwe wegbukwa unu na anyi na su igbo 😂 #IgboInvasion #IgboTwitterCommunity	negative
Ka m na-agwakwa gi oo. 😅	negative
Oga speak English, Isi ana emebi gi?	negative
Mmadu nkea 🤣🤣🤣Ike gwuru!	negative
Chukwu biko napu ekwensu Ike.	negative
杨千嬅 O dikwa egwu o! ☹️	negative
Gas gbakwa gi oku	negative
lmao who's your baby? Isi adikwa gi mma?	negative
Lord Lugard and ndaa Flora. Chukwu kpọọ unu ọkụ oo	negative
Ndi Arondizuogu enyego ya, o lie, makana Pericoma na-anyi ajo alo.	negative
Chisom, ịsị adịghị gị mma!	negative
Ọ salu go ọkụ nne?	negative
Ndi ala fa enwero problem.	negative
Nwanne! Nsogbu dị o	negative
Chu-wa gi onu dia	negative
Ndị a bu ndi ọjọọ 🤣🤣	negative
Must be nize. Ndi ara	negative
Ikechukwu onye ala	negative
"ike akụkọ adirom" the ultimate line. Tupu Amu alaputa nwoke mmadụ. 😭	negative
The run i ran today eh, Chineke ekwekwala ihe ọjọọ 😭	negative
Ndị asili gbakwa ute. 😂 😂 😂	negative
Nna, ike dikwa! 😂😂😂😂😂	negative
O di egwu. Anam enyo gi enyo	negative
onye ara, aturu.	negative
Kelechi; just negodu Njo ahia e kuru m boy. Ihe nke a odinma? Baba i no fit whine you. 😪	negative
Ndi igbo is na ara di na udi	negative
Taa mechie onu	negative
Chai. Ihe nnwute 😢	negative
Na afo ka nya bụ nwa nọ wa mebisia	negative
Nhia bukwa mpa mmadu😔	negative
Ike agwu m te!	negative
Ọ dịkwa egwu dị anyị	negative
Ike gwụrụ eziokwu m	negative
Nsogbu e nwego problem.	negative
SAVAGE NDI AKPO	negative
Kingsley I'm on the floor 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 Onye ala nkwo akpu 🙄	negative
😂😂😂😂 correct babe.Gwa han. Ndi ara.🤣🤣	negative
I swear. Odi ezi egwu.	negative
Ezigbo nsogbu di!	negative
Ndi obi akpo 😂😂😂😂	negative
Nsogbu. Shift lemme see road jor	negative
Anwuola m ebe a.🤣🤣🤣	negative
Guys Nsogbu dikwa #Getwet	negative
Lol. This team. ndi mgbu🤡	negative
Nwanne ara di ebe a o	negative
Pink is a female colour gbuo ghi dia. onye apari	negative
Ememe a n'ụlọ ofufe? nnọọ pathetic, mmụọ ọjọọ akwadokwa ọchịchị na Igbo ala 😔	negative
Ike gwuru final!	negative
Nna ike gwulu	negative
Iberibe odi ụzọ ole ụmụnne m?	negative
Ihere o na eme onye Ara? 😏	negative
Owu ya. Lee gi lekwa relegation.	negative
Vuru ụwa gị gawa this morning o.	negative
Loll. Onye obi akpo🤣🤣	negative
Nna, ndi a choro i nye mmadu high BP biko! Ahh!	negative
Bia Nwanyi Ichoro igbu Mmadu?	negative
Ike gi agwula m hoha. 🤦🏿‍♂️	negative
Ara gbachikwa gị ntị there	negative
ha ga ejizi otele gi gbape borehole di omimi nwanna. 10 years borehole!	negative
Onye oshi o🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣	negative
Ina enye ya onu Ewu gambia	negative
